18028,0a1819
16765,0d1b17
13362,091c1e
10309,0b1b23
9300,0b171d
7773,102528
7324,102022
6646,152931
6569,0e222a
6452,0a2124
5928,112836
5919,122e3e
5804,071517
5686,0f212e
5663,183444
5487,0e1a1b
5459,091d1a
5221,0e1b27
5121,14222a
5031,152735
4925,152a2d
4692,101f26
4603,193951
4235,123545
4154,112a33
3761,194057
3681,173039
3452,12334a
3423,0c2839
3352,1e3a4c
3263,112b2f
3131,152426
3043,051d25
3000,1b3e5b
2995,0c1e30
2983,121c22
2940,1a4563
2912,163135
2910,143e5d
2862,173b4b
2795,1c4c6d
2783,12303a
2739,182e3e
2704,12314d
2634,133952
2602,122d41
2592,1a6994
2488,131f20
2459,0a2b43
2416,164b7a
2309,1e3f56
2257,11263a
2237,1f5687
2221,18363f
2197,051b28
2140,195d87
2133,09212f
2127,185070
2115,1d6498
2106,10221f
2095,1d3c46
2058,1c2f38
2049,1e5b7d
2045,1d3640
2044,144a71
2044,123136
2025,1e4153
1993,08232c
1990,183348
1984,19598a
1976,134463
1956,17445b
1864,1e3444
1836,0c2b34
1807,051720
1804,15212d
1790,1f5982
1758,17679c
1742,0a2e3c
1731,185179
1706,184064
1671,1d7bae
1671,091814
1650,1873a5
1589,125b8e
1556,12465e
1545,082428
1525,1f4877
1477,1b3133
1436,0b3751
1434,133254
1434,0c1621
1412,2683b8
1411,0c2c30
1403,1c5069
1396,135273
1385,25678f
1385,1c5191
1374,1b334e
1335,2572a5
1309,123e6a
1305,164582
1282,1e4550
1245,102842
1239,214463
1235,13201b
1233,1d3e61
1225,185e82
1197,1b61a2
1182,1d4c72
1170,124166
1151,1a2830
1149,105396
1139,1984bc
1136,192b44
1128,0f305b
1103,1d383c
1057,173c68
997,234a6f
980,276497
950,0a3f6c
935,224f67
917,3495ce
917,204b6b
892,294f68
892,082848
883,1f475d
857,0b3356
850,0c4685
847,093974
795,105e87
789,264155
780,1f6175
721,0c60a6
716,2395d0
716,1d3a67
713,28a2cf
713,0a4365
697,1c2835
694,1654a5
668,1a292a
628,275360
624,287aa0
622,123b40
617,1b6fb3
614,0e234a
610,182e58
607,084c7e
594,305f7b
591,49e0f8
586,1a70c5
578,12396f
577,18505d
576,3ab8f1
557,135266
555,1c5ca7
554,16243c
553,297ec4
552,29464f
544,50effb
536,033654
534,295fa1
532,2ea4e2
531,2696e2
528,051c37
524,193876
518,30656e
516,2789b2
513,266bbd
508,2d5a81
499,296e83
495,05305d
467,0e192a
466,329bc5
466,24373e
465,04254f
461,1f292f
459,022034
458,164753
445,133f8a
443,0f2544
443,08394a
442,39cef6
426,0b699b
422,0b2862
412,226976
408,0c1931
407,1b4a4a
405,167cc4
398,1a7ba2
390,2c71b5
385,1a72ae
376,024588
351,358fd9
339,236c6c
336,0c59ad
336,083035
336,022231
325,195555
323,41bfe7
322,1a8ab4
311,265757
301,12565d
297,2e5789
295,39b0f6
295,074f78
288,0e141a
282,041425
281,2252a3
280,02242d
277,2d8197
269,3782b9
268,468297
267,12243d
264,162031
263,1b3151
255,53d4fb
247,2a3543
244,263d5e
236,186b82
228,3a4959
215,8d98a3
215,085272
212,46a0c1
211,162544
205,32abfa
199,57b8f1
195,113332
190,2b4876
178,3f75ab
177,003160
175,1f3782
171,002236
158,27bef7
145,1680d9
138,0b398c
136,358be2
112,0c50b2
110,116f88
102,273964
99,002333
98,194dad
90,0b1424
84,69c4e6
77,072169
74,235fdd
71,4e6275
68,071e15
60,181d22
56,54686f
52,63cfe0
48,005274
45,b6c0c8
36,002530
7,16342b
