11132,141625
10435,14191e
10266,0e1014
9802,11101b
9199,191b2b
8586,0d1120
8409,0b131a
7117,191e24
6950,1e2131
6682,1b232e
6195,151d28
6121,17161f
6108,1e2429
5902,0f1822
5207,1a3342
4891,212935
4718,242838
4559,2e3539
4479,252b30
3749,1a2f4b
3649,233f53
3375,1e1d25
3236,3a4245
2981,304050
2883,152538
2742,1f323e
2651,142732
2521,27262d
2447,4a9198
2414,283f50
2403,3b8189
2374,1e435b
2372,203f61
2342,173656
2340,16223d
2313,182631
2303,0d2734
2285,283c57
2236,2d7e91
2219,29313d
2216,133b5e
2171,288fa2
2159,163951
2061,0b2f42
2024,114971
2005,26505d
1995,485056
1982,284d63
1974,3099c3
1964,2b2f41
1961,2989b2
1957,0c3b60
1933,3a9298
1924,2d586e
1907,1f4e63
1890,253144
1883,0c2a4a
1882,1b537c
1879,175e89
1874,4e8088
1871,26343f
1863,2f5b68
1862,173c4b
1854,183565
1842,224a70
1829,206f87
1798,396673
1778,1f4655
1772,458189
1762,1e4d73
1751,224679
1723,11162b
1715,25647a
1714,0e233e
1690,1f2f43
1689,202d4a
1680,0d1b26
1670,2d3b55
1649,528e97
1647,27618b
1627,1a3247
1618,40aad4
1618,091a2b
1609,53b3bb
1578,175e98
1577,227e92
1572,08517b
1561,3c8ea0
1557,226994
1556,2975a3
1550,17335b
1526,1a2537
1523,1e79b1
1516,5b8e97
1515,30a0b3
1496,1979a2
1480,3a89af
1474,192a53
1473,2e6f85
1473,1b8294
1470,336c79
1465,48a2a9
1462,282332
1453,40b1c2
1437,42717d
1422,1f5763
1417,116591
1413,16497d
1409,3a3f4e
1409,2f4c62
1399,2a6e76
1369,16657d
1367,394c5f
1360,043d63
1342,1e5369
1334,2c838a
1322,3c515a
1321,243a5e
1320,134253
1318,28799a
1316,328da1
1313,343339
1310,1d213b
1306,6abfd4
1302,185967
1296,1b47ba
1294,0f2639
1285,2a4b6e
1283,3ba0af
1277,17181a
1274,1788b3
1254,465d69
1245,2eabd5
1243,3b677e
1232,209ac4
1225,516e79
1205,497b90
1202,272d49
1165,5aa3ab
1158,16546e
1150,04386a
1119,5fc2de
1109,082552
1107,0c4255
1104,223c58
1090,2d424a
1062,9fe5f8
1058,1c6f7b
1057,29abc1
1046,2d75ac
1042,57b1c6
1042,356089
1032,3a7b93
1017,084b80
1011,75bfe9
999,126d88
998,55aad3
991,4178a5
988,071c28
969,30657e
949,3e5f6a
939,182c6c
938,2b5ccf
934,293b94
922,489eb2
921,4ebfdd
918,0e3667
903,285b93
888,294953
883,84c9e1
883,45c0e4
868,3196ca
866,076996
862,5ac3ce
858,5ebdea
843,42b9e7
838,2c3b5d
833,4b8ca4
821,1a3a96
819,4acbdc
807,0a323b
802,0e1d45
795,0f1b1c
776,022c4e
767,74d7f5
754,586068
753,081c5a
736,3c99c1
729,7cd0eb
729,4fbae9
723,283469
700,2ea7de
700,273f87
685,4999c1
662,2e67ca
653,002e51
652,284cac
646,4ec4d2
638,445c7a
626,2946b3
619,4998d3
619,171f58
615,011e29
597,085870
593,63828b
587,0e1332
587,0d2b73
582,8be0f9
569,1b2878
557,1f1529
534,011a32
512,1680ba
508,1691a2
507,034358
506,1449aa
492,31a5a9
472,1d359e
445,161b46
442,2855a1
437,2870b8
429,154289
423,122f31
411,63a3bc
411,3697d4
402,b7ecf7
400,172582
391,32b7ea
372,38549f
367,0a33a2
364,0e539c
361,194349
360,1c5ed3
351,619ccb
350,6ba5aa
350,022c7a
344,2a9599
337,232557
325,21302a
317,160c1f
302,3f65bd
302,001439
263,3bcae3
263,259cdb
257,056e8b
243,9dccd5
215,2c2d7c
193,2a203c
174,373859
158,82a6ad
153,1f84cd
119,1f1a48
109,1a1c63
106,4690da
102,474967
81,42b9b2
