9210,232117
8327,25201c
5139,2f3a39
5111,afbeca
4790,b7c7d3
4766,c3d3e1
4617,291e15
4614,95a1ab
4515,a5b2bc
4248,8d9199
4042,829298
4028,7d8284
3947,9ba1a8
3860,9daec5
3829,272e36
3697,d4e4f0
3640,2f2b24
3609,2a3f61
3589,838fa2
3539,6a7470
3534,30373f
3500,232d2c
3497,202730
3423,abb1b9
3257,2f2418
3226,2a2b31
3214,7285bd
3214,292b28
3162,69717d
3120,465c81
3096,1f221e
3059,737f92
2937,3a4844
2933,8e9fb4
2912,242023
2889,546a91
2866,54659b
2850,263943
2795,5f6660
2717,394d71
2708,344453
2679,25354c
2671,6979a1
2670,6e89b7
2666,718382
2626,bbc1ca
2536,7788b2
2499,72818b
2488,3b2e24
2477,1d2b40
2467,525751
2450,6274ac
2421,506664
2417,5d77a4
2416,344846
2385,8aa1ab
2352,a6adc4
2352,425756
2335,1e2f38
2313,38487b
2300,1a202a
2292,1a2223
2279,46568b
2177,7b98c7
2152,495852
2133,222839
2104,576661
2094,2f2a2d
2084,243b34
2076,39373c
2074,5f7474
2006,3f4744
1998,4e6db7
1981,464843
1963,373a35
1961,222f1d
1922,4d535e
1918,435362
1904,9cb2bc
1879,2e211e
1869,8898c4
1868,41444d
1867,748da7
1864,7b92cf
1820,61717f
1800,5a626e
1750,33405b
1743,7e808f
1742,989eb5
1723,222e50
1716,636d89
1695,7a8ea5
1685,424f6b
1664,2f3445
1660,6d8ea9
1639,7c9eba
1639,6a7d95
1639,1f3a21
1631,b0bdd8
1606,3e3a33
1573,8ba7d7
1563,1b3055
1547,3b4450
1541,657e97
1528,4e6273
1518,8badc9
1507,5a73ae
1500,515e7a
1499,424c70
1495,8d9cbc
1484,839db7
1456,353f61
1441,483a31
1436,526e88
1432,4e73ad
1432,2f3d2d
1429,a5bfd9
1426,2e477e
1421,5b6c8a
1420,505b81
1417,6a828a
1406,a7c3cf
1406,2a4556
1402,3c63a0
1374,6c919e
1367,73919c
1353,365365
1320,80a6b4
1306,96a7d3
1304,5c7081
1302,3e568d
1282,304c72
1275,2d3a6c
1271,6a83c1
1265,73717a
1240,3d4159
1191,536270
1182,5e698f
1174,b4d0e9
1168,5e7d99
1164,4f5fa5
1158,4b5069
1146,4c649e
1138,5c5458
1126,e5f4fb
1123,c7e6f6
1120,2a4f49
1116,4663a0
1105,305791
1104,64828a
1091,19334c
1088,202515
1083,4e4649
1068,8494cb
1065,4c6a94
1055,414b3c
1047,275138
1044,435195
1039,1b2617
1030,53483d
1022,435f79
1016,a2bae7
1005,8ca3de
1004,8e8ea3
981,799199
976,496e69
971,527280
965,66636a
965,4654a2
955,292d1a
952,b8d4e1
948,233a6e
944,6f6a62
939,3a5ca4
935,376981
933,5e838e
922,93aec8
890,446370
883,9bc3e5
880,557eab
877,70a5bd
848,392416
844,1a1d30
842,5e7dc7
835,cdd3dc
833,3e5b83
826,6183bf
821,223e62
814,5588a1
812,42487a
807,8d9391
805,354f39
802,4087a3
799,182c24
794,3956a9
784,749ccf
769,194029
768,5d6db7
749,162336
686,9ccadc
683,62574b
673,555b90
666,3382b3
664,3a5691
663,161d41
662,15242d
599,6d75a9
591,3b7baa
579,2c698e
574,6f8578
566,37638c
557,466994
551,5c9fce
522,293a85
509,5ba4be
508,385c83
503,452f1f
498,3d418a
496,dee4ed
495,1a235c
480,2f324c
476,394b36
460,4ba0c9
447,2766a2
436,22233f
430,294e74
419,7b85b9
407,424daa
398,368aa7
393,88c7e6
386,c3d6d8
374,718fdc
367,23536b
357,3d2b2e
327,568c93
294,9cb4f0
286,163058
254,a6a1a3
252,5266c6
251,3647b1
244,2f2125
243,6a78cc
236,27328e
216,8d817b
211,5b67bf
192,6ac8ec
183,124127
172,b0c4be
166,161e68
160,1e4065
129,b6b1b5
119,15344e
101,9d918e
84,5060d1
64,194265
