6671,0e0515
6419,a6b3c6
6089,98a2b4
5950,c7e1ec
5791,c2e1f1
5658,bed8e4
5510,cde1eb
5448,d3ebef
5446,b6cde1
5201,d3e1e8
5124,bdcde0
5070,aec5d9
4799,b6d6e4
4784,c7d8e1
4775,d8f5f8
4711,abbbce
4624,b2cfe6
4546,919bac
4509,b4c5d6
4358,889572
4262,deeaef
4244,cfd5da
4200,c5d5e8
4198,909e7a
4179,a5bcd0
4167,b1bbcd
4085,9aa784
4043,a1a3b2
4041,d2e8f5
4037,d9e1e5
3824,92a2b6
3823,0f0a21
3752,19152c
3671,9eaabd
3587,8b9aae
3514,899eb4
3440,a4a780
3366,8c9c6d
3359,999bab
3353,b9c5d4
3348,bed5e9
3302,364b6b
3292,738869
3281,949a72
3245,a6c3da
3195,577695
3179,acd2e7
3138,c5e7ee
3109,a8abb9
3108,4d6a8c
2969,8692a5
2858,b7d0dd
2850,bfd0da
2837,202e4c
2816,b9bcc9
2765,283c5b
2691,b0b3c1
2681,9cab78
2612,a5ac75
2602,cbdef1
2581,1f203b
2568,150a20
2518,c2c5d1
2461,d2f4fa
2453,5f7f9d
2444,272037
2394,3e5a7c
2384,e7f3f7
2348,83997a
2305,465a7c
2302,99afc5
2280,343b58
2220,9ea7a0
2206,a6a48f
2132,98967f
2120,def4f6
2115,7c8b64
2088,67785f
2082,506d85
2071,54698b
2070,878a63
2059,62789b
2048,2e3c5a
2026,9ca794
2013,627c93
2012,7d8b9c
2005,798da5
1962,4d5a7a
1958,707c90
1958,20142b
1908,9cc1db
1887,e2e4e5
1876,989e6a
1862,2b2c4a
1858,8fa888
1855,7b886a
1813,8d909f
1800,5a6889
1768,202337
1757,434b69
1743,7a7c8a
1690,0d1230
1686,262d4c
1672,2c3044
1645,779bb9
1635,1a223d
1634,6a876e
1618,7188ab
1611,6a88ad
1607,3e5782
1588,9b9a71
1563,6a8ba6
1545,728ca4
1529,12203f
1523,b5c2db
1508,bce4f3
1475,3c4a6a
1430,1e1d3e
1420,8d9785
1418,5875a0
1379,7b9883
1379,646e7e
1336,88adc9
1296,537b9b
1295,202b50
1279,618aab
1263,6b9ec2
1254,819a6f
1207,898670
1173,687c93
1171,191230
1170,74795a
1149,110a28
1144,384050
1126,4c5f73
1123,778372
1114,829cb5
1104,cccfdd
1102,7a9877
1090,daf0fc
1085,696576
1064,555e6f
1059,3f3b55
1056,5a8aaf
1049,43688f
1048,4c6692
1045,f4f7f5
1042,abba88
1041,859788
1019,92a594
1013,5a6e83
938,273248
927,b3ba83
911,464f5f
909,8ca399
896,92adc6
894,415e75
893,352c47
889,5e7761
871,4b799f
870,9ea6a6
865,4e7368
860,617067
857,2d4b6e
847,b6b88e
832,324c62
826,3c4e62
819,a0967d
814,172d4f
792,808aa9
792,555059
789,001437
786,363141
767,567463
760,5e5f7b
735,d6e0f1
732,a7a0a8
730,446c88
720,273960
712,757072
703,717163
700,46414c
685,556496
681,aab794
680,2f4154
677,656165
670,89817b
660,b5afb7
656,1a1723
645,8a9190
629,7a8180
618,365a7f
610,0d1628
596,354871
572,b4b39e
570,16224e
567,1f3c5e
556,aba6a1
544,69759b
517,98908a
505,263766
501,3f5792
501,052244
484,6a86b7
482,2d3562
472,7695c1
462,4a6396
455,292530
445,324576
439,1e1b43
434,3e6890
431,61a0c6
429,4f4b65
425,281a3e
420,999096
386,284c6f
376,877e84
361,2c3876
349,4a85ae
348,87bcdc
344,43524a
341,748c88
317,122e4f
312,3f4573
296,282852
295,3d5586
244,000000
242,1f3345
212,1f272f
207,3b6b88
201,315a83
181,173c60
180,daedff
177,465189
170,4f5146
165,c0c7a3
165,2b363a
155,83a39a
153,191034
146,376992
120,214a71
108,122635
105,363730
103,79bbe0
99,aec4a8
98,0a2e50
95,31326e
92,91cfef
82,11082b
70,295983
64,b4cac2
55,cbcde3
22,3f3d7c
20,d2d9bd
2,1b3215
