15266,0c1929
14952,061526
9729,0a152b
8964,081b2d
8758,0a1a31
8113,0a1728
4695,06172e
4278,03050c
4134,000108
3832,0d1a2a
3664,030211
3464,00051a
3349,0b1c2e
3325,041228
3117,0c1e2c
3042,041425
3002,06192b
2919,0a1925
2881,050905
2162,060f24
2156,000616
2156,000000
2154,03111d
2140,050e15
2087,050c19
2047,051531
1998,071c29
1995,0e1c28
1827,03224d
1781,021729
1732,0b1835
1725,0a2753
1675,062759
1650,04102b
1491,000b0b
1474,000c1f
1461,0c2f5d
1424,041835
1422,060a1c
1419,051021
1403,000911
1390,041b33
1382,011118
1367,020f06
1332,040b26
1330,05061f
1324,060317
1316,072b57
1292,010b22
1246,051010
1244,041622
1126,0f1b38
1102,041d2f
1101,032853
1099,01142b
1047,10222f
1037,0a1323
1031,0e2e61
1019,061f3d
1016,0b142f
1016,0a3166
982,0b2a51
978,112033
911,0b0e1f
893,031511
882,0a2235
838,07190c
835,061920
820,0e316c
817,0d1c33
809,0a2449
777,001223
771,022051
769,021315
747,0c1d3b
737,011b46
727,011f42
710,030d2d
702,03254a
693,113462
691,0e2a10
681,143013
658,133609
658,00112e
644,0f366b
638,1c4213
632,0a161d
617,042962
612,13262f
601,06213a
598,27550a
582,1c3916
557,0a1f17
557,090915
556,193c0e
556,0d234e
549,11335a
538,122a1f
538,042c5f
535,001506
531,163868
525,153c71
517,112546
515,062409
512,15371a
502,0d2316
491,090f1b
486,122c50
483,1c371c
482,0a0e0a
479,081f11
462,1e4a08
456,0f3011
452,001939
448,08336e
443,22481b
443,0e1b19
439,285217
426,071b1b
421,184404
405,16315f
399,103a78
399,051d07
396,060523
395,122c18
383,0a2646
377,0d2039
376,02153e
375,224908
370,0f222a
367,0b2556
367,0a1520
361,072411
358,060a29
356,0f1e12
356,0d230e
349,0c3665
349,011537
340,0f3a07
340,001a0e
337,0d1710
332,041301
326,072d6e
325,152437
322,071d40
314,163a76
311,254416
306,111e2a
304,122940
301,103d74
299,182d4f
298,1c355a
295,040c34
292,183b63
291,06245c
290,0c2b09
288,2e620c
282,0b2e02
276,1c3428
273,225709
273,16291d
264,0c1414
261,162b16
250,1d3621
249,2a5122
246,060104
240,0b2205
235,336022
220,172624
219,0e1428
216,192f48
197,1f4072
194,141c29
189,172d0f
179,264323
174,29422d
169,21456e
167,152633
161,032e5c
152,266404
150,102627
146,1f4325
146,101e35
143,1d487e
138,154803
132,203953
130,16243c
128,0c2c1a
125,0b2d4d
124,0c1319
123,2c476a
122,194381
122,012609
121,325132
119,36720d
119,07080e
118,418903
114,1c5902
108,223868
97,151e35
93,71b0fa
87,04052c
84,102c65
81,2e70ef
78,345680
78,28588d
78,1b2c3d
77,1b2a1d
73,11142e
64,2a4133
62,01233c
59,0c2a45
58,85c7f7
58,0f4080
53,466994
50,5d98e5
50,3981eb
50,336baf
49,75c5f9
49,0c2b21
46,3d71a3
45,0d0f13
42,62a2d4
39,4982cb
39,1a2e37
39,083014
35,215298
34,63b2fd
34,2a7001
33,4f87ba
33,4579d9
31,5b97f9
31,577fac
28,89b4dc
27,1357c2
24,041f5d
22,2452b4
21,0a301f
21,00326e
20,1d2d16
18,17172b
17,173071
16,abe7f8
16,0f0f19
16,06338f
15,131712
15,0b4277
13,0a4488
11,2e464d
10,2b3a49
8,637d89
8,2b3341
7,3a4b5b
3,778a9b
3,132c6c
